update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,reshaped_return_mean,reshaped_return_std,reshaped_return_min,reshaped_return_max,reshaped_return_bonus_mean,reshaped_return_bonus_std,reshaped_return_bonus_min,reshaped_return_bonus_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
256,5124,655360,72.66105605581104,9052,0.008923339657485485,0.07082681279360063,0.0,0.571093738079071,0.015625,0.178466796875,1.4165362854405876,0.0,11.421875,0.0,0.0,0.0,0.0,126.953125,8.30931271131223,61.0,128.0,1.9161076724529265,0.06455081310123205,0.023479624022729694,0.004071403353009373,0.006354249780997634,0.06066899187862873
257,5135,657920,72.1818480405341,9088,0.008923339657485485,0.07082681279360065,0.0,0.571093738079071,0.015625,0.178466796875,1.4165362854405876,0.0,11.421875,0.0,0.0,0.0,0.0,126.953125,8.30931271131223,61.0,128.0,1.9161116033792496,0.0395945998840034,0.0177399163832888,0.0025334968406241385,-0.00015445053577423096,0.022880077362060547
258,5148,660480,72.06913432769383,9123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9172712057828902,0.02306459303945303,0.00493678180500865,0.0007824991684174166,-0.013844679575413465,0.012075377628207207
259,5160,663040,72.49471377012381,9158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.91848481297493,0.01650050433818251,0.004553059446334374,0.0003820348822046071,-0.01444077119231224,0.006332682445645332
260,5194,665600,72.09953524906811,9194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9196491479873656,0.008224802080076189,0.007325158757157623,0.00039331848420260935,-0.01167467376217246,0.006171243963763118
261,5211,668160,73.3161747255566,9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9197597622871398,0.008568860648665577,0.002155907313863281,0.00021701933073927648,-0.016933180391788483,0.007986115291714668
262,5222,670720,71.32350592557542,9265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9207528501749038,0.00750061625149101,0.0011836910809506663,0.0002247634660307085,-0.017911454662680626,0.009615280199795961
263,5255,673280,71.63057397764148,9301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9223982602357865,0.00462623029598035,0.002514696134312544,0.0006814885891799349,-0.016368540935218334,0.009196701226755977
264,5273,675840,72.51840330164774,9336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9239667147397994,-0.0015582153631839902,0.0014224708444089628,0.0004797300654900028,-0.017577330581843853,0.009446286363527179
265,5285,678400,72.02553305974669,9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9249109506607054,-0.0020235154268448243,-0.000734249857487157,0.00022520733964483952,-0.019870756193995476,0.005181925371289253
266,5318,680960,71.75745452186743,9407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.925546619296074,0.003179651207756251,-0.00010352187091484683,0.00042929109622491524,-0.019144341815263033,0.009785695001482964
267,5333,683520,71.89713500307016,9443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9256941080093384,0.006635524885496125,0.0005893911977182143,5.343257162166992e-05,-0.018640832044184208,0.005386354168877006
268,5348,686080,72.48445428669879,9478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9257457464933396,0.0058775906567461785,0.0031298908608732743,0.0002002699873628444,-0.016027430072426796,0.009673497639596462
269,5380,688640,72.72901450537476,9513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9264730572700501,0.0023917335623991677,0.0022945196178625338,0.00019920740014640615,-0.016870606690645218,0.007059390423819423
270,5394,691200,72.89147154192436,9548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9280515521764756,0.002952061504765879,-0.0006380585429724306,0.0001607767837413121,-0.01983818504959345,0.00711979647167027
