update,frames,fps,duration,train_loss,train_accuracy,train_precision,train_recall,validation_loss,validation_accuracy,validation_precision,validation_recall
38,729600,6186.876519433537,111,0.46655654509862265,0.7572916666666667,0.6798893660382852,0.9727168593147975,,,,
39,748800,6067.075178324869,115,0.46616571545600893,0.7567708333333332,0.6809307105108632,0.9663541666666666,,,,
41,787200,6537.238814899624,121,0.46525090336799624,0.7556770833333334,0.6790015327348369,0.9694664443518133,,,,
42,806400,6443.1220595937275,124,0.4635206123193105,0.7581249999999999,0.6805717619603268,0.972488536890371,,,,
43,825600,6541.112904742882,127,0.46269511580467226,0.7583854166666666,0.6816921954777535,0.9714166926514916,,,,
44,844800,6530.60788101007,130,0.46423132022221886,0.7565624999999998,0.6794432704219194,0.9713511824148349,,,,
46,883200,6538.16921830241,135,0.46365778843561806,0.7581770833333333,0.6821279402066388,0.9682754316621593,,,,
47,902400,6524.117233886903,138,0.4634350816408793,0.7591145833333334,0.6820141781773003,0.9714761607328752,,,,
48,921600,6560.349878215355,141,0.4637032727400462,0.7562499999999998,0.681284834262247,0.9652950955943475,,,,
49,940800,6691.686279143567,144,0.4633373578389486,0.7573958333333333,0.6821099225378089,0.96362688900469,,,,
51,979200,6616.735220365613,150,0.46096904079119366,0.7586458333333332,0.6836283185840708,0.9642188475140421,,,,
52,998400,6677.591372948531,153,0.46143927772839866,0.75828125,0.6823728315201412,0.9666770800791419,,,,
53,1017600,6535.564968058115,156,0.46116512616475425,0.759375,0.6836133215443561,0.9660558100791337,,,,
54,1036800,6527.5440076841705,159,0.4624897162119547,0.7586979166666669,0.6832890070921985,0.9639395518499219,,,,
56,1075200,6552.981924963295,165,0.4620263616243998,0.7584895833333334,0.6820222238575319,0.9670283806343907,,,,
57,1094400,6522.41417642355,168,0.4606070657571157,0.7611979166666667,0.686027559638465,0.963880503799313,,,,
58,1113600,6559.772207540982,171,0.46308396259943646,0.7563541666666667,0.6813267632566007,0.9640961598501405,,,,
59,1132800,6471.514775718342,174,0.45900436441103615,0.75921875,0.6812993854258121,0.9721265267773254,,,,
